x,y,height,momentum_x
0.5,0.5,1.00001,0.799979
1.5,0.5,1.00006,0.799867
2.5,0.5,1.0003,0.79931
3.5,0.5,1.0013,0.796963
4.5,0.5,1.00491,0.788473
5.5,0.5,1.01593,0.762051
6.5,0.5,1.04337,0.693331
7.5,0.5,1.09456,0.555405
8.5,0.5,1.15971,0.363501
9.5,0.5,1.2145,0.188529
10.5,0.5,1.2467,0.0799446
11.5,0.5,1.26124,0.0294831
12.5,0.5,1.26668,0.0103033
13.5,0.5,1.26845,0.00395749
14.5,0.5,1.26897,0.00197826
15.5,0.5,1.26913,0.00127405
16.5,0.5,1.2692,0.000902133
17.5,0.5,1.26923,0.000618043
18.5,0.5,1.26925,0.00036292
19.5,0.5,1.26926,0.000119765
20.5,0.5,1.26926,-0.000119455
21.5,0.5,1.26925,-0.000362514
22.5,0.5,1.26923,-0.000617871
23.5,0.5,1.2692,-0.000901972
24.5,0.5,1.26913,-0.00127406
25.5,0.5,1.26897,-0.00197851
26.5,0.5,1.26845,-0.00395774
27.5,0.5,1.26668,-0.0103036
28.5,0.5,1.26124,-0.0294834
29.5,0.5,1.2467,-0.0799446
30.5,0.5,1.2145,-0.188529
31.5,0.5,1.15971,-0.363501
32.5,0.5,1.09456,-0.555405
33.5,0.5,1.04337,-0.693331
34.5,0.5,1.01593,-0.762051
35.5,0.5,1.00491,-0.788473
36.5,0.5,1.0013,-0.796963
37.5,0.5,1.0003,-0.79931
38.5,0.5,1.00006,-0.799867
39.5,0.5,1.00001,-0.799979
